5728,PTEN,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5732,PTGER2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
80142,PTGES2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5737,PTGFR,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5764,PTN,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
11156,PTP4A3,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5801,PTPRR,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
177,AGER,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
375287,RBM43,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5947,RBP1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
5970,RELA,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
56729,RETN,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
389,RHOC,25449831,25449831,2454848,2454848,11675475,11675475,12760253,12760253,15588473,15588473,10381818,10381818,19230253,19230253,9436699,9436699,26216523,26216523,18490013,18490013,16750201,16750201,19055724,19055724,20858448,20858448,20537326,20537326,24188612,24188612,23141164,23141164,22017422,22017422,10433073,10433073,9764347,9764347,8738720,8738720,15507512,15507512,25912412,25912412,25194152,25194152,20031030,20031030,24188612,24188612,19429661,19429661,25446850,25446850,22384446,22384446,19903049,19903049,19401003,19401003,24613539,24613539,17624337,17624337,24210790,24210790,9130910,9130910,24613539,24613539,17609243,17609243,15236995,15236995,14748845,14748845,18955785,18955785,16723371,16723371,18644593,18644593,15019822,15019822,16723371,16723371,16762179,16762179,17141400,17141400,18644593,18644593,15019822,15019822,25201101,25201101,23340055,23340055,22883517,22883517,22736326,22736326,25422360,25422360,24661731,24661731,22563025,22563025,11883311,11883311,16644787,16644787,12107265,12107265,22065163
390,RND3,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
4486,MST1R,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6171,RPL41,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
8644,AKR1C3,25449831,25449831,2454848,2454848,11675475,11675475,12760253,12760253,15588473,15588473,10381818,10381818,19230253,19230253,9436699,9436699,26216523,26216523,18490013,18490013,16750201,16750201,19055724,19055724,20858448,20858448,20537326,20537326,24188612,24188612,23141164,23141164,22017422,22017422,10433073,10433073,9764347,9764347,8738720,8738720,15507512,15507512,25912412,25912412,25194152,25194152,20031030,20031030,24188612,24188612,19429661,19429661,25446850,25446850,22384446,22384446,19903049,19903049,19401003,19401003,24613539,24613539,17624337,17624337,24210790,24210790,9130910,9130910,24613539,24613539,17609243,17609243,15236995,15236995,14748845,14748845,18955785,18955785,16723371,16723371,18644593,18644593,15019822,15019822,16723371,16723371,16762179,16762179,17141400,17141400,18644593,18644593,15019822,15019822,25201101,25201101,23340055,23340055,22883517,22883517,22736326,22736326,25422360,25422360,24661731,24661731,22563025,22563025,11883311,11883311,16644787,16644787,12107265,12107265,22065163
6284,S100A13,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6286,S100P,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6288,SAA1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
4254,KITLG,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
10371,SEMA3A,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
10801,SEPT9,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
8660,IRS2,25449831,25449831,2454848,2454848,11675475,11675475,12760253,12760253,15588473,15588473,10381818,10381818,19230253,19230253,9436699,9436699,26216523,26216523,18490013,18490013,16750201,16750201,19055724,19055724,20858448,20858448,20537326,20537326,24188612,24188612,23141164,23141164,22017422,22017422,10433073,10433073,9764347,9764347,8738720,8738720,15507512,15507512,25912412,25912412,25194152,25194152,20031030,20031030,24188612,24188612,19429661,19429661,25446850,25446850,22384446,22384446,19903049,19903049,19401003,19401003,24613539,24613539,17624337,17624337,24210790,24210790,9130910,9130910,24613539,24613539,17609243,17609243,15236995,15236995,14748845,14748845,18955785,18955785,16723371,16723371,18644593,18644593,15019822,15019822,16723371,16723371,16762179,16762179,17141400,17141400,18644593,18644593,15019822,15019822,25201101,25201101,23340055,23340055,22883517,22883517,22736326,22736326,25422360,25422360,24661731,24661731,22563025,22563025,11883311,11883311,16644787,16644787,12107265,12107265,22065163
5054,SERPINE1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6418,SET,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
2516,NR5A1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
6464,SHC1,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
8431,NR0B2,25449831,2454848,11675475,12760253,15588473,10381818,19230253,9436699,26216523,18490013,16750201,19055724,20858448,20537326,24188612,23141164,22017422,10433073,9764347,8738720,15507512,25912412,25194152,20031030,24188612,19429661,25446850,22384446,19903049,19401003,24613539,17624337,24210790,9130910,24613539,17609243,15236995,14748845,18955785,16723371,18644593,15019822,16723371,16762179,17141400,18644593,15019822,25201101,23340055,22883517,22736326,25422360,24661731,22563025,11883311,16644787,12107265,22065163,23011643,17509581,16309234,11163832,19931078,22266326,25134292,16533339,9065182,12372468,15104227,19931078,19931078,17983420,15120698,20063560,20190557,23302395,16249290,23472165,24012197,16084891,24571615,25912412,16750201,11912283,19055724,12029073,24648304,25912412,12934347,16150151,11020520,24127964,20137818,9102363,24018808,22884659,16616093,18849443,25912412,9065182,9043920,22563025,25996258,12934347,16202314,11020520,9886539,24127964,19467764,26054109,22447624,26409150,18222435,21397694,26054109
